snapshot_date,tweet_id,created_at,impressions,likes,retweets,replies
2026-05-10,2052871292441768137,2026-05-08T22:00:31+00:00,260,3,0,0
2026-05-10,2052508808534978987,2026-05-07T22:00:08+00:00,359,4,1,0
2026-05-10,2052168999815860511,2026-05-06T23:29:51+00:00,486,4,0,0
2026-05-10,2050696905420578834,2026-05-02T22:00:17+00:00,257,1,0,0
2026-05-10,2050346233646948426,2026-05-01T22:46:50+00:00,290,3,0,0
2026-05-10,2049972100018901446,2026-04-30T22:00:09+00:00,176,1,0,0
2026-05-10,2049630702350557260,2026-04-29T23:23:34+00:00,197,2,0,0
2026-05-10,2049443728729797118,2026-04-29T11:00:36+00:00,186,1,0,0
2026-05-10,2048884923633684611,2026-04-27T22:00:06+00:00,203,2,0,0
2026-05-10,2048160167099838960,2026-04-25T22:00:11+00:00,215,4,1,0
